partnership__accredited_provider_name,partnership__accredited_provider_provider_code,partnership__training_partner_name,partnership__training_partner_provider_code,partnership__academic_year_code,partnership__academic_years_active,partnership__start_date,partnership__end_date
2Schools Consortium,T92,Oakthorpe Primary School,151,2026,"2026,2025,2024,2023,2022,2021,2020,2019",2019-08-01T00:00:00Z,
Ambition Teacher Training,2A2,Academy Transformation Trust,7D7,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Ambition Teacher Training,2A2,Active Teacher Training,2KL,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Ambition Teacher Training,2A2,Advance Teacher Training,D5D,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Ambition Teacher Training,2A2,Arbib Education Trust,7A2,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Ambition Teacher Training,2A2,Astrea Academy Trust,3A9,2026,"2026,2025",2025-08-01T00:00:00Z,
Ambition Teacher Training,2A2,Blue Kite Academy Trust,2HL,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Ambition Teacher Training,2A2,Cumbria Education Trust,3Q2,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Ambition Teacher Training,2A2,Danes Educational Trust,3D3,2026,"2026,2025,2024,2023",2023-08-01T00:00:00Z,
Ambition Teacher Training,2A2,Dixons Academies Trust,1EP,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Ambition Teacher Training,2A2,E-ACT Academies Trust,1Z1,2026,"2026,2025",2025-08-01T00:00:00Z,
Ambition Teacher Training,2A2,Eden Academy Trust,5E1,2026,"2026,2025",2025-08-01T00:00:00Z,
Ambition Teacher Training,2A2,Learning In Harmony Teacher Training,2H5,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Ambition Teacher Training,2A2,LEARN with FA1,3L1,2026,"2026,2025,2024,2023",2023-08-01T00:00:00Z,
Ambition Teacher Training,2A2,Lime Trust,3L2,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Ambition Teacher Training,2A2,London District East Teaching School Hub,5U5,2026,"2026,2025,2024,2023",2023-08-01T00:00:00Z,
Ambition Teacher Training,2A2,Northern Lights Initial Teacher Training,1YQ,2026,"2026,2025",2025-08-01T00:00:00Z,
Ambition Teacher Training,2A2,North West London Train to Teach,4W6,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Ambition Teacher Training,2A2,North West SCITT,252,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Ambition Teacher Training,2A2,North West SHARES SCITT,N83,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Ambition Teacher Training,2A2,Pathfinder Schools,4P2,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Ambition Teacher Training,2A2,Rise Multi Academy Trust,4R1,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Ambition Teacher Training,2A2,Shaw Education Trust,5S3,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Ambition Teacher Training,2A2,St Gabriel the Archangel Catholic Multi-Academy Trust,5F3,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Ambition Teacher Training,2A2,Teach Kent & Sussex,2EZ,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Ambition Teacher Training,2A2,The Bucks Hub Partnership,2FX,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
ARK Teacher Training,1CS,Lift Schools: East,2CG,2026,"2026,2025,2024,2023,2022",2022-08-01T00:00:00Z,
ARK Teacher Training,1CS,Lift Schools: London and South,2CH,2026,"2026,2025,2024,2023,2022",2022-08-01T00:00:00Z,
ARK Teacher Training,1CS,Lift Schools: Midlands,2CJ,2026,"2026,2025,2024,2023,2022",2022-08-01T00:00:00Z,
ARK Teacher Training,1CS,Lift Schools: North,2CK,2026,"2026,2025,2024,2023,2022",2022-08-01T00:00:00Z,
ARK Teacher Training,1CS,Lift Schools: South West,2E1,2026,"2026,2025,2024,2023",2023-08-01T00:00:00Z,
Arthur Terry SCITT,A67,Arthur Terry School,1QN,2026,"2026,2025,2024,2023,2020,2019",2019-08-01T00:00:00Z,
Associated Merseyside Partnership SCITT,25F,Ashton Teacher Training Partnership,29O,2026,"2026,2025,2024,2023,2022,2021",2021-08-01T00:00:00Z,
Associated Merseyside Partnership SCITT,25F,Deyes High School,1CD,2026,"2026,2025,2021,2020,2019",2019-08-01T00:00:00Z,
Associated Merseyside Partnership SCITT,25F,Green Park Primary School,2F6,2026,"2026,2025,2024,2023,2022,2021,2020,2019",2019-08-01T00:00:00Z,
Associated Merseyside Partnership SCITT,25F,Hudson Primary School,2F5,2026,"2026,2025,2024,2023,2022,2021,2020,2019",2019-08-01T00:00:00Z,
Associated Merseyside Partnership SCITT,25F,NWAT Futures Hub,5N2,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Astra SCITT,28E,Astra Aylesbury Hub,2KM,2026,"2026,2025,2024,2023,2022,2020,2019",2019-08-01T00:00:00Z,
Barr Beacon SCITT,2AX,Barr Beacon School,1BB,2026,"2026,2025",2025-08-01T00:00:00Z,
Barr Beacon SCITT,2AX,Manor Primary School,1QO,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Barr Beacon SCITT,2AX,Ryders Hayes,4T5,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Bath Spa University,B20,University of Bolton,8N5,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Birmingham City University,B25,Arthur Terry School,1QN,2026,"2026,2025,2024,2023,2020,2019",2019-08-01T00:00:00Z,
Birmingham City University,B25,Futures Teaching,2KR,2026,"2026,2025,2024,2023,2022",2022-08-01T00:00:00Z,
Birmingham City University,B25,Greenholm Primary School,19R,2026,"2026,2025,2024,2023,2022,2021,2020,2019",2019-08-01T00:00:00Z,
Birmingham City University,B25,Holte School,139,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Birmingham City University,B25,Shireland Collegiate Academy Trust,6T1,2026,2026,2026-08-01T00:00:00Z,
Birmingham City University,B25,"Teach Central, formerly RSA Academiesâ",26A,2026,"2026,2025,2024,2023,2022",2022-08-01T00:00:00Z,
Birmingham City University,B25,The Griffin Schools Trust Teacher Training,2LF,2026,"2026,2025,2024,2023,2022,2021,2020,2019",2019-08-01T00:00:00Z,
Birmingham City University,B25,The Lion Alliance,1K1,2026,"2026,2025,2024,2023,2022",2022-08-01T00:00:00Z,
Birmingham City University,B25,Transforming Lives Educational Trust Initial Teacher Training (TLET ITT),1XO,2026,"2026,2025,2024,2023,2020,2019",2019-08-01T00:00:00Z,
Birmingham City University,B25,Waverley School in partnership with Birmingham City University,1RH,2026,"2026,2025,2024,2023,2022,2021,2020,2019",2019-08-01T00:00:00Z,
Birmingham Newman University,N36,Bishop Challoner Catholic College,6K6,2026,"2026,2025",2025-08-01T00:00:00Z,
Birmingham Newman University,N36,Black Pear Teaching Alliance,2HC,2026,2026,2026-08-01T00:00:00Z,
Birmingham Newman University,N36,Blue Sky,21L,2026,"2026,2025,2024,2023,2022,2021,2020,2019",2019-08-01T00:00:00Z,
Birmingham Newman University,N36,Excelsior MAT,8F8,2026,"2026,2025",2025-08-01T00:00:00Z,
Birmingham Newman University,N36,Futures Teaching,2KR,2026,"2026,2025,2024,2023,2022,2021,2020",2020-08-01T00:00:00Z,
Birmingham Newman University,N36,Holy Spirit MAC,S89,2026,"2026,2025",2025-08-01T00:00:00Z,
Birmingham Newman University,N36,Invictus Education Trust,2I2,2026,"2026,2025",2025-08-01T00:00:00Z,
Birmingham Newman University,N36,Lumen Christi Catholic Multi Academy Company,6Y6,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Birmingham Newman University,N36,Painsley Catholic Academy,F72,2026,"2026,2025",2025-08-01T00:00:00Z,
Birmingham Newman University,N36,St John Bosco ITT,1S9,2026,"2026,2025,2024,2023,2022,2020,2019",2019-08-01T00:00:00Z,
Birmingham Newman University,N36,St Michaelâs CE School Rowley Regis,3M3,2026,"2026,2025",2025-08-01T00:00:00Z,
Birmingham Newman University,N36,"Stour Vale: Teacher Training Hub for the Black Country, South Staffs and Shropshire",1FA,2026,"2026,2025,2024,2023",2023-08-01T00:00:00Z,
Birmingham Newman University,N36,St Paulâs Caritas Christi,242,2026,"2026,2025,2024,2023,2022,2021,2019",2019-08-01T00:00:00Z,
Birmingham Newman University,N36,St Peterâs Solihull Teaching School Alliance,17Y,2026,"2026,2025,2021,2020,2019",2019-08-01T00:00:00Z,
Birmingham Newman University,N36,Tividale Community Primary School,142,2026,"2026,2025,2024,2020,2019",2019-08-01T00:00:00Z,
Bishop Challoner Training School,1K2,Blue Sky,21L,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Bishop Challoner Training School,1K2,Bordesley Multi Academy Trust,5F5,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Bishop Challoner Training School,1K2,drb Ignite Multi Academy Trust,5D3,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Bishop Challoner Training School,1K2,Hagley Catholic High School,7G8,2026,"2026,2025",2025-08-01T00:00:00Z,
Bishop Challoner Training School,1K2,Holy Cross Catholic Multi Academy Company,6J6,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Bishop Challoner Training School,1K2,St John Bosco Catholic Academy,5L9,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Bishop Challoner Training School,1K2,St John Paul II Multi Academy Company,8T8,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Bishop Challoner Training School,1K2,St Paulâs Caritas Christi,242,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Bishop Challoner Training School,1K2,St Peterâs Solihull Teaching School Alliance,17Y,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Bradford Birth to 19 SCITT,259,Aireborough Partnership,2JF,2026,"2026,2025,2024,2023",2023-08-01T00:00:00Z,
Bradford Birth to 19 SCITT,259,Beckfoot Trust Teacher Training,1MU,2026,"2026,2025,2024,2023,2020,2019",2019-08-01T00:00:00Z,
Bradford Birth to 19 SCITT,259,Bingley Grammar Teacher Training,2BP,2026,"2026,2025,2024,2023,2022,2021,2020,2019",2019-08-01T00:00:00Z,
Bradford Birth to 19 SCITT,259,Carlton Academy Trust Teacher Training,3E0,2026,"2026,2025,2024,2023,2022,2021",2021-08-01T00:00:00Z,
Bradford Birth to 19 SCITT,259,Futura Teacher Training,3F5,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Bradford Birth to 19 SCITT,259,Innovation Training and Recruitment,F56,2026,"2026,2025",2025-08-01T00:00:00Z,
Bradford Birth to 19 SCITT,259,Saltaire Primary Teacher Training,2X8,2026,"2026,2025,2024,2023,2022",2022-08-01T00:00:00Z,
Bradford Birth to 19 SCITT,259,St Edmundâs Nursery School & Childrenâs Centre,1EN,2026,"2026,2025,2024,2023,2022,2020,2019",2019-08-01T00:00:00Z,
Bright Futures SCITT,G65,BBL Teacher Training,4A7,2026,"2026,2025,2024,2023",2023-08-01T00:00:00Z,
Bright Futures SCITT,G65,Co-op Academies Trust,2X4,2026,"2026,2025,2024,2023",2023-08-01T00:00:00Z,
Bright Futures SCITT,G65,Culcheth Campus,4F5,2026,"2026,2025,2024,2023,2022,2021,2020",2020-08-01T00:00:00Z,
Bright Futures SCITT,G65,Manchester Prospere Teacher Training,3D2,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
Bright Futures SCITT,G65,TCAT Train to Teach,2H4,2026,"2026,2025,2024,2023",2023-08-01T00:00:00Z,
Bromley Schools Collegiate,B91,Bromley Schoolsâ Collegiate School Direct,1C9,2026,"2026,2025,2024,2023,2022,2021,2020,2019",2019-08-01T00:00:00Z,
Bromley Schools Collegiate,B91,Woolwich Poly,1HC,2026,"2026,2025,2024,2023,2022",2022-08-01T00:00:00Z,
Cambridge Partnership,C03,Cambridge Meridian Academies Trust & Swavesey Village College,2KU,2026,"2026,2025,2024,2023,2021,2020,2019",2019-08-01T00:00:00Z,
Cambridge Partnership,C03,CMAT Stamford Welland Academy,9J1,2026,"2026,2025,2024,2023,2021,2020",2020-08-01T00:00:00Z,
Cambridge Partnership,C03,CMAT West Town Primary,1DT,2026,"2026,2025,2024,2020,2019",2019-08-01T00:00:00Z,
Cambridge Partnership,C03,Greenwood Academies Trust,1EX,2026,"2026,2025,2024,2023,2022,2021,2020,2019",2019-08-01T00:00:00Z,
Cambridge Partnership,C03,Lincroft Academy,235,2026,"2026,2025,2024",2024-08-01T00:00:00Z,
