provider_import_notes,provider__operating_name,provider__legal_name,provider__ukprn,provider__urn,provider__code,provider__accreditation_status,accreditation__number,accreditation__start_date,accreditation__end_date,provider__provider_type,address__address_line_1,address__address_line_2,address__address_line_3,address__town_or_city,address__county,address__postcode,address__latitude,address__longitude,address__note,provider__academic_years_active,provider__academic_year_code,address__uprn,address__latitude_2,address__longitude_2,row_type,address__found,model_fields,os_fields,provider__provider_details_for_name,provider__provider_trading_names
unaacredited,3 - 18 Inspiring Futures,,10059785,138216,1Q6,unaccredited,,,,school,Longden Road,,,Shrewsbury,,SY3 9EE,52.696061,-2.767875,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100071403308,52.696061,-2.767875,updated,true,,,THE 3-18 EDUCATION TRUST,THE 3-18 EDUCATION TRUST (Academy Trust)
unaacredited,AIM Alliance Schools,,10016231,134798,2FR,unaccredited,,,,school,Spur Road,,,Edgware,,HA8 8DE,51.622868,-0.290082,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,200140408,51.622868,-0.290082,updated,true,,,LONDON ACADEMY,
unaacredited,AIM Primary Alliance,,10085000,147637,1BD,unaccredited,,,,school,Bridge Lane,Appleton,,Warrington,,WA4 3AH,53.36243,-2.568731,,"2024,2023,2022,2021,2020,2019",2024,200000976601,53.36243,-2.568731,updated,true,address__address_line_1,organisation_name,BROOMFIELDS JUNIOR SCHOOL,
unaacredited,ASSET Education,,10048992,141819,146,unaccredited,,,,school,St. Helens Church Lane,,,Ipswich,,IP4 2LT,52.0575208,1.1653579,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,10004563642,52.0575208,1.1653579,updated,true,,,ST HELEN'S PRIMARY SCHOOL,
unaacredited,ATT Partnership,,10042286,139867,2CZ,unaccredited,,,,school,Mildenhall Hub,Sheldrick Way,,Mildenhall,Suffolk,IP28 7JX.,52.3429375,0.4999919,invalid address__postcode,"2025,2024,2023,2022,2021,2020,2019",2025,,52.3429375,0.4999919,original,,,,MILDENHALL COLLEGE ACADEMY,
unaacredited,Abacus Belsize Primary School,,10042333,139837,4A2,unaccredited,,,,school,"105, Camley Street",,,London,,N1C 4PF,51.538526,-0.1312587,,"2026,2025,2024,2023,2022",2026,5185633,51.538526,-0.1312587,updated,true,provider__operating_name,organisation_name,ABACUS BELSIZE PRIMARY SCHOOL,
unaacredited,Abacus Primary School,,10074189,133312,4Y1,unaccredited,,,,school,Tresco Way,The Wick,"",Wickford,"",SS12 9GL,51.602088,0.539047,,"2024,2023,2022,2021",2024,,51.600584,0.5357969,original,true,,,ABACUS PRIMARY SCHOOL,
unaacredited,Abbey MAT Primary Alliance,,,,2DQ,unaccredited,,,,school,Northolme Avenue,,,Leeds,,LS16 5QR,53.832763,-1.597471,missing address__town_or_city,"2021,2020,2019",2021,72145294,53.832763,-1.597471,updated,true,address__address_line_1,address_line_1,,
unaacredited,Academies Enterprise Trust: South East,,10033736,138982,2CF,unaccredited,,,,school,Academies Enterprise Trust,"3rd Floor, 183 Eversholt Street",,London,London,NW1 1BU,51.5320268,-0.1361007,,"2022,2021,2020,2019",2022,,51.5320268,-0.1361007,original,,,,LIFT SCHOOLS,
unaacredited,Academy Transformation Trust,,10042700,139937,7D7,unaccredited,,,,school,"Unit 4, Second floor",Emmanuel Court,Reddicroft,Sutton Coldfield,"",B73 6AZ,52.564509,-1.823232,,"2026,2025,2024,2023",2026,,52.5644921,-1.8233797,original,true,,,THE QUEEN ELIZABETH ACADEMY,
unaacredited,Achieve with TELA,,10038162,138527,1R3,unaccredited,,,,school,Station Road,Broughton Astley,,Leicester,,LE9 6PT,52.529794,-1.222337,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100032073953,52.5295183,-1.223531,original,true,,,THOMAS ESTLEY COMMUNITY COLLEGE,
unaacredited,Acklam Grange School,,10067565,145774,2FD,unaccredited,,,,school,Lodore Grove,,,Middlesbrough,,TS5 8PB,54.5435079,-1.2646904,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100110789348,54.5435079,-1.2646904,updated,true,address__address_line_1,address_line_1,ACKLAM GRANGE SCHOOL,
unaacredited,Acorns Early Years Training Centre,,10065849,117079,2CV,unaccredited,,,,school,Holwell Road,"",,Welwyn Garden City,,AL7 3RP,51.794127,-0.195707,,"2024,2023,2022,2021,2020,2019",2024,100081157205,51.7941151,-0.1957056,original,true,,,LUDWICK NURSERY SCHOOL,Acorns Teaching School Alliance
unaacredited,Active Teacher Training,,10059514,138177,2KL,unaccredited,,,,school,Wenny Road,,,Chatteris,,PE16 6UU,52.4501005,0.0527753,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100091517399,52.4501005,0.0527753,updated,true,,,THE ACTIVE LEARNING TRUST LIMITED,THE ACTIVE LEARNING TRUST LIMITED (Academy Trust)
unaacredited,Ad Astra SCITT,,10060899,,3A8,unaccredited,,,,scitt,Hartlepool Innovation Centre,Venture Court,,Hartlepool,,TS25 5TG,54.649188,-1.233509,,"2026,2025,2024",2026,10090069882,54.6491042,-1.2333101,original,true,,,AD ASTRA ACADEMY TRUST,AD ASTRA ACADEMY TRUST (Academy Trust)
unaacredited,Advance Learning Partnership,,10059549,137903,2AL,unaccredited,,,,school,Whitworth Road,,,Spennymoor,,DL16 7LN,54.6949642,-1.6148349,,"2026,2025,2024,2023,2022,2021,2020",2026,100110749148,54.6949642,-1.6148349,updated,true,,,ADVANCE LEARNING PARTNERSHIP,ADVANCE LEARNING PARTNERSHIP (Academy Trust)
unaacredited,Advance Teacher Training,,10059545,138084,D5D,unaccredited,,,,school,Jaywick Lane,,,Clacton On Sea,,CO16 8BE,51.7924156,1.1199361,,"2026,2025,2024,2023",2026,10007935090,51.7924156,1.1199361,updated,true,,,THE SIGMA TRUST,THE SIGMA TRUST (Academy Trust)
unaacredited,Advantage Schools,,10058317,138228,6T9,unaccredited,,,,school,Cauldwell House,Cauldwell Street,,Bedford,,MK42 9AD,52.132419,-0.466736,,"2026,2025",2026,100081295217,52.1324349,-0.4668762,original,true,,,ADVANTAGE SCHOOLS,Advantage Schools (Academy Trust)
unaacredited,Affinity Learning Partnership,,10032605,136414,1E2,unaccredited,,,,school,De Ferrers Academy,St. Marys Drive,,Burton On Trent,,DE13 0LL,52.8288649,-1.6413342,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100031670885,52.8288649,-1.6413342,updated,true,,,THE DE FERRERS ACADEMY,
unaacredited,Affinity Teaching School Alliance (Somerset),,,,2DO,unaccredited,,,,school,Wellington Road,,,Taunton,,TA1 5AU,51.016938,-3.1173193,,"2021,2020,2019",2021,10002701371,51.016938,-3.1173193,updated,true,,,,
unaacredited,Agnus Dei Catholic Schools,,10006280,102787,2BD,unaccredited,,,,school,Boleyn Road,,,London,,E7 9QD,51.5388875,0.0245491,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,10008991440,51.5388875,0.0245491,updated,true,address__address_line_1,address_line_1,ST BONAVENTURE'S RC SCHOOL,
unaacredited,Aireborough Partnership,,10073040,107809,2JF,unaccredited,,,,school,Town Street,Rawdon,,Leeds,,LS19 6PP,53.850738,-1.669988,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,72291023,53.872688,-1.707343,original,true,,,GUISELEY PRIMARY SCHOOL,
unaacredited,Aldridge Education,,10058195,,7A1,unaccredited,,,,scitt,Trulock Road,,,London,,N17 0PG,51.5219746,-0.0872641,,"2026,2025,2024",2026,100021232369,51.5219746,-0.0872641,updated,true,,,ALDRIDGE EDUCATION,Aldridge Education (Academy Trust)
unaacredited,Aletheia Academies Trust,,10059352,137609,2T4,unaccredited,,,,scitt,Meadow Road,,,Gravesend,,DA11 7LS,51.4279527,0.3608746,,"2026,2025,2024",2026,100062310647,51.4279527,0.3608746,updated,true,,,ALETHEIA ACADEMIES TRUST,ALETHEIA ANGLICAN ACADEMIES TRUST (Academy Trust)
unaacredited,Alfreton Nursery School,,10083807,112485,2C2,unaccredited,,,,school,Stanton Close,Alfreton,,Derby,Derbyshire,DE55 3SH,53.093613,-1.388254,,"2024,2023,2022,2021,2020,2019",2024,,53.093613,-1.388254,original,,,,ALFRETON NURSERY SCHOOL,
unaacredited,All Saints Catholic Academy Trust,,10059575,,5H5,unaccredited,,,,scitt,"96, The Crescent",,,Abbots Langley,,WD5 0DS,51.7078815,-0.4149106,,"2026,2025",2026,100080926858,51.7078815,-0.4149106,updated,true,provider__operating_name,organisation_name,ALL SAINTS CATHOLIC ACADEMY TRUST,ALL SAINTS CATHOLIC ACADEMY TRUST (Academy Trust)
unaacredited,All Saints RC School,,10000225,149517,2KH,unaccredited,,,,school,Mill Mount Lane,,,York,,YO24 1BJ,53.9516618,-1.0946397,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,200004776329,53.9516618,-1.0946397,updated,true,,,ALL SAINTS RC SCHOOL,
unaacredited,Alliance of Bristol Catholic Schools (ABCs),,10035687,137627,7A3,unaccredited,,,,school,Long Cross,,,Bristol,,BS11 0SU,51.5050481,-2.6555542,,"2026,2025,2024",2026,214531,51.5050481,-2.6555542,updated,true,,,ST BEDE'S CATHOLIC COLLEGE,
unaacredited,Alliance of Leading Learning,,10007848,136979,1HQ,unaccredited,,,,school,Morda Road,,,Oswestry,,SY11 2AR,52.8529006,-3.0613679,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100071402731,52.8529006,-3.0613679,updated,true,,,UNIVERSITY OF CHESTER,
unaacredited,Alpha Academies Trust,,10058303,136681,5A4,unaccredited,,,,scitt,Discovery Drive,,,Stoke On Trent,,ST2 0GA,53.007671,-2.1168606,,"2026,2025,2024",2026,3455144326,53.007671,-2.1168606,updated,true,,,ALPHA ACADEMIES TRUST,ALPHA ACADEMIES TRUST (Academy Trust)
unaacredited,Alton Schools Teaching Alliance,,10071550,116337,2BY,unaccredited,,,,school,School Road,Rowledge,,Farnham,,GU10 4BW,51.1834047,-0.8268549,,"2024,2023,2022,2021,2020,2019",2024,100062322159,51.1834047,-0.8268549,updated,true,address__address_line_1,address_line_1,ROWLEDGE CHURCH OF ENGLAND CONTROLLED PRIMARY SCHOOL,
unaacredited,Amwell View School,,10014882,117684,1AC,unaccredited,,,,school,Station Road,,,Stanstead Abbotts,Herts,SG12 8EH,51.786578,-0.002803,,"2022,2021,2020,2019",2022,,51.786578,-0.002803,original,,,,AMWELL VIEW SCHOOL,
unaacredited,An Daras Trust,,10059966,140514,5D2,unaccredited,,,,scitt,"Unit 3 4, Tamar Business Park",Pennygillam Way,,Launceston,,PL15 7ED,50.628897,-4.376999,,"2026,2025,2024",2026,10003305635,50.6279648,-4.378458,original,true,,,AN DARAS MULTI ACADEMY TRUST,AN DARAS MULTI ACADEMY TRUST (Academy Trust)
unaacredited,Anglian Gateway Teaching Schools Alliance,,,,1JD,unaccredited,,,,school,Lode Road,Bottisham,,Cambridge,,CB25 9DL,52.225397,0.255372,,"2022,2021,2020,2019",2022,10002596403,52.225397,0.255372,updated,true,,,,
unaacredited,Anthem SCITT,,10058447,134003,6A3,unaccredited,,,,school,Highbridge House 16 18,Duke Street,,Reading,,RG1 4RU,51.454399,-0.968948,,"2025,2024",2025,310049737,51.4545364,-0.9689015,original,true,,,ANTHEM SCHOOLS TRUST,CFBT Schools Trust (Academy Trust)
unaacredited,Aquila,,10054668,142429,2CA,unaccredited,,,,school,Aquila,Diocese of Canterbury Academies Trust,,"Suites 19 & 20, Motis Business Park","Folkestone, Kent",CT19 4QJ,51.0902621,1.1220359,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,,51.0902621,1.1220359,original,,,,KINGSNORTH CHURCH OF ENGLAND PRIMARY SCHOOL,
unaacredited,Arbib Education Trust,,10058188,135631,7A2,unaccredited,,,,school,Langley Road,,,Slough,,SL3 7EF,51.5041831,-0.554096,,"2026,2025,2024",2026,100081268220,51.5041831,-0.554096,updated,true,address__address_line_1,organisation_name,THE ARBIB EDUCATION TRUST,THE ARBIB EDUCATION TRUST (Academy Trust)
unaacredited,Arch Alliance - All Souls' CE Primary,,10068561,105811,1XK,unaccredited,,,,school,Rye Street,"",,Heywood,,OL10 4DF,53.597337,-2.205241,,"2024,2023,2022,2021,2020,2019",2024,23102381,53.597134,-2.2053874,original,true,,,ALL SOULS CHURCH OF ENGLAND PRIMARY SCHOOL,
unaacredited,Archbishop Blanch School,,10003957,104705,2KA,unaccredited,,,,school,"80, Earle Road",,,Liverpool,,L7 6HQ,53.3983709,-2.944065,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,38307884,53.3983709,-2.944065,updated,true,provider__operating_name,organisation_name,LIVERPOOL JOHN MOORES UNIVERSITY,
unaacredited,Archbishop Tenison's CE High School,,10000344,101811,2P9,unaccredited,,,,school,Selborne Road,,,Croydon,,CR0 5JQ,51.3692968,-0.0824136,,"2026,2025",2026,100023535423,51.3692968,-0.0824136,updated,true,address__address_line_1,address_line_1,ARCHBISHOP TENISON'S COFE HIGH SCHOOL,
unaacredited,Arden Alliance,,10031562,136333,2BU,unaccredited,,,,school,Station Road,Knowle,,Solihull,,B93 0PT,52.384603,-1.739202,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100071401420,52.3846284,-1.7389819,original,true,,,ARDEN,
unaacredited,ArrowITT,,10003614,148680,1DD,unaccredited,,,,school,Sycamore Drive,Bishopdown,,,Salisbury,SP1 3GZ,51.09039,-1.7817538,missing address__town_or_city,"2024,2023,2022,2021,2020,2019",2024,,51.09039,-1.7817538,original,,,,UNIVERSITY OF WINCHESTER,
unaacredited,Arthur Terry School,,10034759,138136,1QN,unaccredited,,,,school,Kittoe Road,,,Sutton Coldfield,,B74 4RZ,52.5891903,-1.8356,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100071483859,52.5891903,-1.8356,updated,true,,,THE ARTHUR TERRY LEARNING PARTNERSHIP,
unaacredited,Ascend Learning Trust,,10058663,144773,4A5,unaccredited,,,,scitt,Ascend Learning Trust,Lime Kiln,,Royal Wootton Bassett,Wiltshire,SN4 7HG,51.5461749,-1.9002766,,"2026,2025,2024",2026,,51.5461749,-1.9002766,original,,,,ROYAL WOOTTON BASSETT ACADEMY TRUST,Royal Wootton Bassett Academy Trust (Academy Trust)
unaacredited,Ash Field Academy School Direct,,10037053,138094,194,unaccredited,,,,school,Broad Avenue,,,Leicester,,LE5 4PY,52.6291998,-1.0862023,,"2024,2023,2022,2021,2020,2019",2024,2465161962,52.6291998,-1.0862023,updated,true,address__address_line_1,address_line_1,ASH FIELD ACADEMY,
unaacredited,Ashbourne Dove Valley Federation ITT,,10074888,112847,2BE,unaccredited,,,,school,Moor Lane,Osmaston,"",Ashbourne,"",DE6 1LW,52.992225,-1.704071,,"2024,2023,2022,2021,2020,2019",2024,,52.9925959,-1.7050641,original,true,,,OSMASTON COFE (VC) PRIMARY SCHOOL,
unaacredited,Ashcroft Technology Academy,,10021078,135316,4E8,unaccredited,,,,school,"100, West Hill",,,London,,SW15 2UT,51.4565167,-0.2074102,,"2026,2025",2026,121004229,51.4565167,-0.2074102,updated,true,,,ASHCROFT TECHNOLOGY ACADEMY,
unaacredited,Ashdene Primary School,,10074366,111227,3A6,unaccredited,,,,school,Thoresway Road,,,Wilmslow,,SK9 6LJ,53.3174997,-2.2476417,,"2026,2025,2024",2026,10007948214,53.3174997,-2.2476417,updated,true,provider__operating_name,organisation_name,ASHDENE PRIMARY SCHOOL,
unaacredited,Ashfield School ITT,,10036962,137981,2L9,unaccredited,,,,school,Sutton Road,Kirkby In Ashfield,,Nottingham,,NG17 8HP,53.1093302,-1.2691702,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100032105123,53.1093302,-1.2691702,updated,true,,,ASHFIELD COMPREHENSIVE SCHOOL,
unaacredited,Ashmole Academy (North London Teaching Alliance),,10031563,136308,1P2,unaccredited,,,,school,Cecil Road,"",,London,,N14 5RJ,51.629858,-0.132576,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,200020023,51.6301406,-0.1329183,original,true,,,ASHMOLE ACADEMY,
unaacredited,Ashton Teacher Training Partnership,,10082366,146816,29O,unaccredited,,,,school,Darnton Road,,,Ashton Under Lyne,,OL6 9RL,53.4915466,-2.0760181,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100012741570,53.4915466,-2.0760181,updated,true,,,ASHTON SIXTH FORM COLLEGE,
