provider_import_notes,provider__operating_name,provider__legal_name,provider__ukprn,provider__urn,provider__code,provider__accreditation_status,accreditation__number,accreditation__start_date,accreditation__end_date,provider__provider_type,address__address_line_1,address__address_line_2,address__address_line_3,address__town_or_city,address__county,address__postcode,address__latitude,address__longitude,address__note,provider__academic_years_active,provider__academic_year_code,address__uprn,address__latitude_2,address__longitude_2,row_type,address__found,model_fields,os_fields,provider__provider_details_for_name,provider__provider_trading_names
match:market_reg:accreditation,2Schools Consortium,Oakthorpe Primary School,10045988,,T92,accredited,5606,2024-08-01T00:00:00Z,,scitt,Tile Kiln Lane,,,London,,N13 6BY,51.6139603,-0.0927213,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,207004309,51.6139603,-0.0927213,updated,true,provider__legal_name,organisation_name,OAKTHORPE PRIMARY SCHOOL,2Schools Consortium
match:market_reg:accreditation,AA Teamworks West Yorkshire SCITT,Great Heights Trust,10058440,,2AT,accredited,5697,2024-08-01T00:00:00Z,,scitt,West Vale Primary School,Stainland Road,Greetland,Halifax,West Yorkshire,HX4 8LS,53.6880644,-1.853286,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,,53.6880644,-1.853286,original,,,,GREAT HEIGHTS ACADEMY TRUST,THE GREETLAND ACADEMY (Academy Trust)
match:market_reg:accreditation,ARK Teacher Training,Ark Schools,10044534,135600,1CS,accredited,5635,2024-08-01T00:00:00Z,,scitt,"1, Edcity Walk",,,London,,W12 7TF,51.5153584,-0.1193644,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,34174624,51.5153584,-0.1193644,updated,true,provider__legal_name,organisation_name,ARK SCHOOLS,
match:market_reg:accreditation,Arthur Terry SCITT,The Arthur Terry Learning Partnership,10034759,,A67,accredited,5583,2024-08-01T00:00:00Z,,scitt,Kittoe Road,,,Sutton Coldfield,,B74 4RZ,52.5885202,-1.8357342,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100071483859,52.5885202,-1.8357342,updated,true,,,THE ARTHUR TERRY LEARNING PARTNERSHIP,
match:market_reg:accreditation,Ashton on Mersey School SCITT,The Dean Trust,10055366,,24L,accredited,5638,2024-08-01T00:00:00Z,,scitt,Cecil Avenue,,,Sale,,M33 5BP,53.4189389,-2.3394249,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,10070446089,53.4189389,-2.3394249,updated,true,,,THE DEAN TRUST,The Dean Trust (Academy Trust)
match:market_reg:accreditation,Associated Merseyside Partnership SCITT,Lydiate Learning Trust,10055360,,25F,accredited,5670,2024-08-01T00:00:00Z,,scitt,Associated Merseyside Partnership SCITT,"Building 1000, Vortex Court, Enterprise Way",Wavertree Technology Park,Liverpool,Merseyside,L13 1FB,53.4041379,-2.9292959,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,,53.4041379,-2.9292959,original,,,,LYDIATE LEARNING TRUST,Lydiate Learning Trust (Academy Trust)
match:market_reg:accreditation,Astra SCITT,Dr Challoner's Grammar School,10032610,,28E,accredited,5689,2024-08-01T00:00:00Z,,scitt,Dr Challoner's Grammar School,Chesham Rd,,Amersham,Buckinghamshire,HP6 5HA,51.6760251,-0.6095188,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,,51.6760251,-0.6095188,original,,,,DR CHALLONER'S GRAMMAR SCHOOL,
match:market_reg:accreditation,Barr Beacon SCITT,Matrix Academy Trust,10053216,,2AX,accredited,5694,2024-08-01T00:00:00Z,,scitt,BBSCITT,Old Hall Lane,,Walsall,West Midlands,WS9 0RF,52.561104,-1.915301,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,,52.561104,-1.915301,original,,,,MATRIX ACADEMY TRUST,Barr Beacon SchoolMATRIX ACADEMY TRUST (Academy Trust)
match:market_reg:accreditation,Bath Spa University,Bath Spa University,10000571,133790,B20,accredited,1502,2024-08-01T00:00:00Z,,hei,Sion Hill Campus,Sion Road,,Bath,,BA1 5SF,51.3937893,-2.3711777,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100121172380,51.3937893,-2.3711777,updated,true,,,BATH SPA UNIVERSITY,
match:market_reg:accreditation,Birmingham City University,Birmingham City University,10007140,133788,B25,accredited,1541,2024-08-01T00:00:00Z,,hei,"15, Bartholomew Row",,,Birmingham,,B5 5JU,52.4833468,-1.8847802,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,10090247876,52.4833468,-1.8847802,updated,true,provider__legal_name,organisation_name,BIRMINGHAM CITY UNIVERSITY,
