provider_import_notes,provider__operating_name,provider__legal_name,provider__ukprn,provider__urn,provider__code,provider__accreditation_status,accreditation__number,accreditation__start_date,accreditation__end_date,provider__provider_type,address__address_line_1,address__address_line_2,address__address_line_3,address__town_or_city,address__county,address__postcode,address__latitude,address__longitude,address__note,provider__academic_years_active,provider__academic_year_code,address__uprn,address__latitude_2,address__longitude_2,row_type,address__found,model_fields,os_fields,provider__provider_details_for_name,provider__provider_trading_names
unaacredited,ARK Teacher Training,,,,1ZU,unaccredited,,,,scitt,"67, Kingsway",,,London,,WC2B 6TD,51.5153584,-0.1193644,missing address__town_or_city,"2020,2019",2020,5060936,51.5153584,-0.1193644,updated,true,,,,
unaacredited,Abbey Infants' School,,10034923,136988,153,unaccredited,,,,school,Federation of Abbey Schools,Cleveland Terrace,,Darlington,Co. Durham,DL3 8JA,54.5218773,-1.5759175,,"2023,2022,2021,2020,2019",2023,,54.5218773,-1.5759175,original,,,,ABBEY INFANTS' SCHOOL,
unaacredited,Abbey Primary Community School,,,,2HO,unaccredited,,,,school,Abbey Primary Community School,109 Ross Walk,,Leicester,Leicestershire,LE4 5HH,52.6525522,-1.1244242,,"2021,2020,2019",2021,,52.6525522,-1.1244242,original,,,,,
unaacredited,Abraham Darby Academy,,,,159,unaccredited,,,,school,Ironbridge Road,Madeley,,Telford,,TF7 5HX,52.6334559,-2.4676684,missing address__town_or_city,"2021,2020,2019",2021,452070952,52.6334559,-2.4676684,updated,true,provider__operating_name,organisation_name,,
unaacredited,Abraham Moss High School,,,,1V2,unaccredited,,,,school,Crescent Road,,,Manchester,,M8 5UF,53.5115944,-2.2360726,missing address__town_or_city,"2021,2020,2019",2021,77237949,53.5115944,-2.2360726,updated,true,provider__operating_name,organisation_name,,
unaacredited,Academies Enterprise Trust: North East,,,,2CL,unaccredited,,,,school,Academies Enterprise Trust,"3rd Floor, 183 Eversholt Street",,London,London,NW1 1BU,51.5319175,-0.1359488,,"2021,2020,2019",2021,,51.5319175,-0.1359488,original,,,,,
unaacredited,Academy Transformation Trust,,,,1OE,unaccredited,,,,school,1 Victoria Square,,,Bimingham,,B1 1BD,52.4898442,-1.9117758,,"2021,2020,2019",2021,,52.4898442,-1.9117758,original,,,,,
unaacredited,Aireborough Learning Partnership (Queensway Primary School),,,,29K,unaccredited,,,,school,Coppice Wood Ave,Yeadon,,Leeds,,LS19 7LF,53.872845,-1.6927024,,"2021,2020,2019",2021,,53.872845,-1.6927024,original,,,,,
unaacredited,Alban Federation,,,,A46,unaccredited,,,,school,The Ridgeway,,,St. Albans,,AL4 9NX,51.7703158,-0.3067366,,"2020,2019",2020,200003634749,51.7703158,-0.3067366,updated,true,,,,
unaacredited,Alderman White School and Language College,,,,22E,unaccredited,,,,school,Chilwell Lane,Bramcote,,Nottingham,,NG9 3DU,52.9277673,-1.2404443,,"2021,2020,2019",2021,100032133108,52.9277673,-1.2404443,updated,true,address__address_line_1,address_line_1,,
