Row number,Accredited entity,Operating name,Provider type,Provider code,Accreditation ID,UKPRN,URN,Accreditation type,Start date,,,
2,Achievement Through Collaboration Trust,Kingsbridge EIP SCITT,SCITT,1S2,5616,10058922,,Accredited Provider,01/08/2025,,,
3,Ambition Teacher Training,Ambition Teacher Training,SCITT,2A2,5722,10095073,,Accredited Provider,01/08/2025,,,
4,Anglia Ruskin University,Anglia Ruskin University,HEI,Null,1570,10000291,,Accredited Provider,01/08/2025,,,
5,Archway Learning Trust,Bluecoat SCITT Alliance Nottingham,SCITT,1YH,5646,10052837,,Accredited Provider,01/08/2025,,,
6,Ark Schools,Ark Teacher Training,SCITT,1CS,5635,10044534,,Accredited Provider,01/08/2025,,,
7,Bath Spa University,Bath Spa University,HEI,B20,1502,10000571,,Accredited Provider,01/08/2025,,,
8,Beacon Multi Academy Trust,NELTA,SCITT,251,5659,10059409,,Accredited Provider,01/08/2025,,,
9,Best Practice Network Ltd,Best Practice Network,SCITT,6B1,5733,10019464,,Accredited Provider,01/08/2025,,,
10,Birmingham City University,Birmingham City University,HEI,B25,1541,10007140,,Accredited Provider,01/08/2025,,,
11,Birmingham Newman University,Birmingham Newman University,HEI,N36,1523,10007832,,Accredited Provider,01/08/2025,,,
12,Bishop Bewick Catholic Education Trust,Sacred Heart Newcastle SCITT,SCITT,2BA,5705,10059424,,Accredited Provider,01/08/2025,,,
13,Bishop Challoner Catholic College,Bishop Challoner Training School,SCITT,1K2,5723,10000722,,Accredited Provider,01/08/2025,,,
14,Brandlehow Primary School,Wandsworth Primary Schools' Consortium,SCITT,W14,5546,10046788,,Accredited Provider,01/08/2025,,,
15,Bridge Academy Trust,Mid Essex Initial Teacher Training,SCITT,M82,5524,10058864,,Accredited Provider,01/08/2025,,,
16,Bright Futures Educational Trust,Bright Futures SCITT,SCITT,G65,5649,10046414,,Accredited Provider,01/08/2025,,,
17,Cabot Learning Federation,Five Counties SCITT,SCITT,2AV,5695,10058211,,Accredited Provider,01/08/2025,,,
18,Canterbury Christ Church University,Canterbury Christ Church University,HEI,C10,1505,10001143,,Accredited Provider,01/08/2025,,,
19,Changing Lives Learning Trust,One Cumbria,SCITT,1A3,5732,10058240,,Accredited Provider,01/08/2025,,,
20,Chiltern Learning Trust,Chiltern Training Group,SCITT,C59,5508,10055370,,Accredited Provider,01/08/2025,,,
21,Chorus Education Trust,National Specialist SCITTs,SCITT,2F1,5716,10060171,,Accredited Provider,01/08/2025,,,
22,"Christ Church Primary School, Hampstead",Teaching London: LDBS SCITT,SCITT,L59,5523,10074742,,Accredited Provider,01/08/2025,,,
23,City College Norwich,Norfolk Teacher Training Centre,SCITT,N43,5627,10004772,,Accredited Provider,01/08/2025,,,
24,Colegrave Primary School,SCITT in East London Schools (SCITTELS),SCITT,S17,5535,10046003,,Accredited Provider,01/08/2025,,,
25,Coventry University,National Institute of Teaching and Education,HEI,C85,1585,10001726,,Accredited Provider,01/08/2025,,,
26,Delta Academies Trust,Exchange Teacher Training,SCITT,1DU,5724,10055739,,Accredited Provider,01/08/2025,,,
27,Dr Challoner's Grammar School,Astra SCITT,SCITT,28E,5689,10032610,,Accredited Provider,01/08/2025,,,
28,East Anglian Schools Trust,EAST SCITT,SCITT,3C6,5720,10058884,,Accredited Provider,01/08/2025,,,
29,East Midlands Education Trust,East Midlands Teacher Training Partnership,SCITT,E31,5614,10055367,,Accredited Provider,01/08/2025,,,
30,Edge Hill University,Edge Hill University,HEI,E42,1510,10007823,,Accredited Provider,01/08/2025,,,
