[items]{#id}id,operating_name,legal_name,provider_type,code,ukprn,urn
91b73ade-1703-4475-aef7-9f6a84fb947c,2Schools Consortium,Oakthorpe Primary School,school,T92,10045988,
f492b075-3102-48c1-b9a4-9703fc8a3db3,2Schools Consortium,Oakthorpe Primary School,school,151,10045988,131407
8c748117-6c7b-4807-a6e1-7593b4c42c84,AA Teamworks West Yorkshire SCITT,Great Heights Trust,school,2AT,10032342,
33921de9-4a08-48ab-98d7-2797306add92,Abacus Belsize Primary School,,school,4A2,10042333,139837
a48a610b-9edd-48fe-8895-35c140797ce5,Academy Transformation Trust,,school,7D7,10042700,139937
11d62489-6d70-404c-9eb6-937e23b34e95,Achieve with TELA,,school,1R3,10038162,138527
b5b4bebe-00e2-4ccd-8f62-779a85c8cd6b,Acklam Grange School,,school,2FD,10067565,145774
c1d6f402-bcaa-4113-8ef9-07fb1379d0f3,Active Teacher Training,,school,2KL,10059514,138177
12f0604a-5175-4cfd-9d47-d793d09bb2ff,Ad Astra SCITT,,school,3A8,10060899,
188ba15d-1eed-4cb9-a27f-6502339b0f8e,Advance Learning Partnership,,school,2AL,10059549,137903
c50a21ae-edc9-4505-bb27-14d22ca575de,Advance Teacher Training,,school,D5D,10059545,138084
9cdc2ee9-10bd-4230-95d5-2ff878615a5b,Agnus Dei Catholic Schools,,school,2BD,10006280,102787
02b7f013-aaa3-4950-b426-0c7fcfe10257,AIM Alliance Schools,,school,2FR,10016231,134798
c29146f1-2fe3-4bca-a5b5-da12501826fc,Aireborough Partnership,,school,2JF,10073040,107809
80932b13-3024-411a-8327-13029546b594,Aldridge Education,,school,7A1,10058195,
6b543e0b-70ee-4f62-8883-d15fcf7176a7,Aletheia Academies Trust,,school,2T4,10059352,137609
ae37a4e5-7170-4c13-8c09-969276b08cc5,All Saints Catholic Academy Trust,,school,5H5,10059575,
ba4ec362-d99e-4fcd-a1fd-19f6ba985cd5,All Saints RC School,,school,2KH,10000225,149517
53defbd8-2fe1-4b3f-8c37-aeb77e5f6a0d,Alliance of Bristol Catholic Schools (ABCs),,school,7A3,10035687,137627
55f63e9f-7881-4905-91e3-a195bcbda6d7,Alliance of Leading Learning,,school,1HQ,10007848,136979
5f8fb1be-55dd-4c76-acf4-586d83055b25,Alpha Academies Trust,,school,5A4,10058303,136681
865982a6-de8e-4d10-9645-31ee41c7d11c,Ambition Teacher Training,Ambition Teacher Training,other,2A2,10095073,
f42ea3cc-1821-4796-a34b-cf0f663ef266,An Daras Trust,,school,5D2,10059966,140514
48ce2463-16c4-4b6b-a619-825763936de8,Anthem SCITT,,school,6A3,10058447,134003
436133a0-7695-4e70-817c-d40a355d6cf9,Aquila,,school,2CA,10054668,142429
8bba8ae8-d30d-4758-81cb-a5d3861e3676,Arbib Education Trust,,school,7A2,10058188,135631
c2f31e47-9a45-4654-a5c8-6f4b7e3c7406,Archbishop Blanch School,,school,2KA,10003957,104705
e99adbad-6528-472d-a212-3c887a68524d,Arden Alliance,,school,2BU,10031562,136333
7e8663cb-6cd6-4f65-a199-6ffb7c94cb06,ARK Teacher Training,Ark Schools,school,1CS,10044534,135600
